80.33	78.11	234.48	244.46	251.11	236.15	256.10
79.78	76.45	229.49	241.13	242.80	232.82	246.12
0.00	76.45	207.88	224.51	224.51	206.21	222.84
0.00	75.90	217.85	221.18	232.82	211.20	224.51
0.00	77.01	204.55	212.86	221.18	196.23	204.55
0.00	77.01	204.55	209.54	217.85	196.23	199.56
0.00	76.45	204.55	212.86	219.52	199.56	196.23
0.00	75.90	204.55	211.20	221.18	197.90	197.90
0.00	76.45	217.85	219.52	246.12	194.57	197.90
0.00	76.45	211.20	216.19	247.79	189.58	194.57
0.00	75.90	211.20	221.18	247.79	191.24	194.57
0.00	75.34	211.20	222.84	247.79	192.91	194.57
0.00	77.01	219.52	226.17	254.44	197.90	194.57
0.00	75.90	216.19	224.51	251.11	194.57	196.23
0.00	76.45	216.19	226.17	247.79	199.56	194.57
0.00	74.79	216.19	226.17	252.78	197.90	197.90
0.00	77.01	214.53	229.49	251.11	199.56	197.90
0.00	77.01	214.53	231.16	252.78	189.58	194.57
0.00	77.01	214.53	227.83	247.79	196.23	194.57
0.00	77.56	214.53	229.49	246.12	197.90	199.56
0.00	77.56	214.53	227.83	251.11	199.56	197.90
0.00	77.01	237.81	242.80	246.12	232.82	236.15
0.00	77.56	231.16	246.12	249.45	237.81	237.81
0.00	78.67	237.81	246.12	252.78	236.15	237.81
0.00	78.11	237.81	247.79	246.12	232.82	241.13
0.00	77.56	234.48	247.79	249.45	234.48	241.13
0.00	77.56	211.20	221.18	224.51	199.56	201.22
0.00	78.11	214.53	221.18	227.83	199.56	202.89
0.00	77.56	212.86	221.18	231.16	199.56	201.22
0.00	77.01	214.53	222.84	229.49	201.22	202.89
0.00	77.56	214.53	219.52	229.49	201.22	204.55
0.00	77.01	214.53	219.52	224.51	199.56	201.22
0.00	77.01	212.86	219.52	229.49	194.57	201.22
0.00	76.45	207.88	219.52	224.51	196.23	202.89
0.00	76.45	209.54	217.85	222.84	201.22	201.22
0.00	76.45	206.21	219.52	222.84	197.90	202.89
0.00	76.45	209.54	217.85	224.51	199.56	202.89
0.00	77.01	209.54	217.85	222.84	204.55	199.56
0.00	76.45	209.54	216.19	226.17	199.56	199.56
0.00	75.90	214.53	219.52	226.17	199.56	197.90
0.00	77.01	209.54	221.18	226.17	201.22	197.90
0.00	76.45	209.54	219.52	227.83	201.22	197.90
0.00	62.05	222.84	227.83	251.11	197.90	194.57
0.00	61.49	221.18	229.49	249.45	204.55	192.91
0.00	62.05	222.84	229.49	246.12	196.23	194.57
0.00	60.94	229.49	237.81	251.11	204.55	196.23
0.00	62.05	236.15	242.80	247.79	214.53	196.23
0.00	61.49	232.82	242.80	252.78	216.19	196.23
0.00	62.05	237.81	244.46	247.79	207.88	194.57
0.00	60.94	236.15	241.13	247.79	217.85	194.57
0.00	60.94	214.53	224.51	237.81	202.89	196.23
0.00	60.39	212.86	222.84	234.48	181.27	197.90
14.96	60.94	217.85	222.84	234.48	179.60	196.23
24.38	61.49	214.53	222.84	239.47	179.60	196.23
41.00	60.39	207.88	219.52	234.48	179.60	196.23
57.62	59.83	214.53	219.52	231.16	179.60	194.57
61.49	60.39	214.53	214.53	229.49	181.27	191.24
62.05	60.39	212.86	216.19	231.16	177.94	194.57
70.91	70.36	236.15	244.46	232.82	222.84	229.49
78.67	76.45	227.83	241.13	246.12	229.49	234.48
78.67	76.45	234.48	241.13	249.45	239.47	256.10
79.78	76.45	237.81	241.13	251.11	244.46	251.11
0.00	77.01	236.15	244.46	254.44	241.13	252.78
0.00	75.90	232.82	246.12	249.45	244.46	254.44
0.00	76.45	231.16	244.46	254.44	241.13	254.44
0.00	77.56	232.82	246.12	251.11	237.81	249.45
0.00	76.45	232.82	247.79	251.11	242.80	252.78
0.00	76.45	227.83	244.46	251.11	242.80	252.78
36.56	77.01	217.85	229.49	247.79	244.46	252.78
64.26	76.45	212.86	224.51	254.44	241.13	256.10
58.72	76.45	212.86	222.84	252.78	246.12	256.10
59.28	77.01	226.17	229.49	251.11	241.13	251.11
59.28	77.01	221.18	246.12	251.11	242.80	254.44
59.28	77.01	222.84	247.79	252.78	242.80	254.44
58.72	75.90	222.84	246.12	251.11	189.58	197.90
58.72	75.90	192.91	214.53	219.52	194.57	201.22
59.28	77.01	194.57	216.19	221.18	191.24	199.56
59.28	76.45	192.91	214.53	214.53	192.91	201.22
59.83	77.01	194.57	216.19	216.19	192.91	202.89
59.83	77.01	192.91	214.53	212.86	189.58	202.89
59.28	77.01	191.24	211.20	207.88	191.24	201.22
59.83	77.01	194.57	214.53	209.54	189.58	216.19
59.28	76.45	192.91	212.86	212.86	224.51	247.79
77.01	78.11	231.16	244.46	242.80	237.81	249.45
77.01	77.56	229.49	244.46	244.46	239.47	247.79
77.01	77.01	234.48	247.79	241.13	242.80	251.11
78.11	78.11	231.16	246.12	246.12	239.47	252.78
77.56	78.11	234.48	242.80	244.46	237.81	251.11
78.11	78.67	237.81	237.81	236.15	239.47	234.48
78.11	78.67	231.16	237.81	232.82	239.47	232.82
77.56	77.01	229.49	236.15	244.46	237.81	229.49
78.11	78.11	227.83	236.15	251.11	236.15	251.11
78.11	77.56	231.16	237.81	249.45	239.47	256.10
78.11	78.11	232.82	239.47	249.45	236.15	251.11
