-3.40	466.00
-3.50	440.00
-3.50	420.00
-3.60	415.00
-3.70	411.00
-3.80	402.00
-3.80	399.00
-4.60	392.00
-5.30	394.00
-5.10	397.00
-4.00	393.00
-3.60	393.00
-3.20	394.00
-2.80	398.00
-2.80	396.00
-2.40	406.00
-2.40	406.00
-1.60	411.00
-2.00	411.00
-1.60	419.00
-2.00	431.00
-2.80	472.00
-3.60	474.00
-3.60	480.00
-4.40	481.00
-4.80	481.00
-5.20	442.00
-5.20	442.00
-5.20	441.00
-5.60	438.00
-6.40	440.00
-6.80	442.00
-6.80	426.00
-7.60	426.00
-7.60	412.00
-7.60	462.00
-6.40	478.00
-6.00	470.00
-5.60	466.00
-4.80	466.00
-4.80	469.00
-4.40	468.00
-5.60	468.00
-5.20	468.00
-5.20	468.00
-5.60	468.00
-5.60	473.00
-5.20	477.00
-5.60	477.00
-6.40	456.00
-6.00	428.00
-6.00	433.00
-6.00	431.00
-6.00	425.00
-6.00	424.00
-5.60	425.00
-5.60	434.00
-5.60	427.00
-5.60	418.00
-5.20	416.00
-5.60	455.00
-4.80	480.00
-4.00	473.00
-2.80	474.00
-2.00	472.00
-2.00	472.00
-2.00	471.00
-2.40	471.00
-2.80	472.00
-3.20	472.00
-3.20	471.00
-3.20	471.00
-4.00	470.00
-4.40	471.00
-5.20	442.00
-6.00	429.00
-6.40	429.00
-7.20	435.00
-7.60	439.00
-8.40	442.00
-9.20	436.00
-9.20	429.00
-10.00	451.00
-10.40	495.00
-10.40	497.00
-10.40	504.00
-9.60	452.00
-9.60	447.00
-8.80	445.00
-8.80	442.00
-9.20	429.00
-10.40	423.00
-10.40	420.00
-10.80	430.00
-10.80	431.00
-11.20	433.00
-11.20	432.00
-11.60	432.00
-11.60	384.00
-12.00	388.00
-12.00	391.00
-12.40	384.00
-12.80	384.00
-13.20	378.00
-13.20	372.00
-14.00	362.00
-14.80	362.00
-15.20	388.00
-14.00	412.00
-13.60	392.00
-12.80	380.00
-11.60	396.00
-10.80	393.00
-10.40	385.00
-10.00	380.00
-9.60	352.00
-10.00	345.00
-11.60	335.00
-12.80	348.00
-13.20	385.00
-13.60	406.00
-14.00	421.00
-14.00	389.00
-15.60	396.00
-16.40	388.00
-16.80	387.00
-17.60	387.00
-18.00	382.00
-18.80	375.00
-18.80	360.00
-19.20	367.00
-19.60	400.00
-19.60	414.00
-18.40	421.00
-17.20	430.00
-15.60	429.00
-14.40	430.00
-13.20	429.00
-12.40	433.00
-12.40	430.00
-12.40	380.00
-13.20	379.00
-14.80	380.00
-16.00	392.00
-16.00	445.00
-17.20	447.00
-18.00	420.00
-18.40	442.00
-18.80	504.00
-18.40	490.00
-18.00	492.00
-17.60	495.00
-17.20	500.00
-17.60	506.00
-18.00	488.00
-18.40	487.00
-17.20	491.00
-13.20	491.00
-11.20	491.00
-9.20	496.00
-7.60	501.00
-6.80	501.00
-6.40	501.00
-7.20	501.00
-8.00	508.00
-9.60	529.00
-10.80	536.00
-13.60	536.00
-13.60	536.00
-14.00	536.00
-14.40	500.00
-15.60	498.00
-15.60	497.00
-15.60	498.00
-16.80	494.00
-17.20	492.00
-17.20	486.00
-17.60	480.00
-18.00	476.00
-18.00	474.00
-17.60	473.00
-15.20	471.00
-12.80	477.00
-10.00	479.00
-8.00	479.00
-6.40	485.00
-5.60	485.00
-4.40	492.00
-5.60	496.00
-7.60	497.00
-7.60	511.00
-6.80	510.00
-6.80	510.00
-7.20	510.00
-6.40	511.00
-6.40	494.00
-6.40	492.00
-6.80	490.00
-6.00	495.00
-6.00	492.00
-5.60	481.00
-5.60	469.00
-5.20	481.00
-5.20	494.00
-4.80	505.00
-3.60	506.00
-3.20	506.00
-2.40	485.00
-1.60	485.00
-1.20	486.00
-2.00	478.00
-2.80	475.00
-3.20	475.00
-3.20	485.00
-3.20	480.00
-2.80	478.00
-2.80	481.00
-2.80	483.00
-2.80	470.00
-4.80	443.00
-5.00	445.00
-5.00	442.00
-5.50	441.00
-6.10	443.00
-6.70	441.00
-7.30	431.00
-7.20	440.00
-8.40	474.00
-8.80	483.00
-9.20	483.00
-8.40	491.00
-9.20	495.00
-9.60	497.00
-9.60	493.00
-8.80	495.00
-9.20	505.00
-9.60	520.00
-10.40	522.00
-10.80	533.00
-10.80	537.00
-11.20	525.00
-12.00	525.00
-12.00	465.00
-12.00	414.00
-12.00	428.00
-12.40	429.00
-12.40	428.00
-13.20	425.00
-13.20	415.00
-13.20	404.00
-13.20	396.00
-14.00	395.00
-13.60	413.00
-13.20	405.00
-11.20	420.00
-10.00	424.00
-9.20	433.00
-8.40	482.00
-9.20	477.00
-9.60	471.00
-10.00	470.00
-11.20	470.00
-12.00	470.00
-12.80	470.00
-14.00	462.00
-14.40	465.00
-15.20	415.00
-15.20	398.00
-15.10	403.00
-15.00	406.00
-15.00	406.00
-15.70	407.00
-16.10	399.00
-16.00	382.00
-16.50	390.00
-17.00	423.00
-17.90	420.00
-16.50	426.00
-16.10	435.00
-15.10	437.00
-14.00	433.00
-13.20	425.00
-11.80	426.00
-12.10	422.00
-13.20	421.00
-12.90	420.00
-13.90	425.00
-15.30	431.00
-15.50	431.00
-16.00	443.00
-16.50	429.00
-17.00	411.00
-18.30	425.00
-19.50	427.00
-20.00	426.00
-20.60	406.00
-21.00	397.00
-21.30	397.00
-20.80	409.00
-21.20	438.00
-20.80	434.00
-19.20	436.00
-17.20	445.00
-14.00	451.00
-12.00	444.00
-11.60	445.00
-10.80	440.00
-10.40	435.00
-10.40	434.00
-11.20	433.00
-13.60	430.00
-15.20	426.00
-16.00	430.00
-15.60	440.00
-13.60	445.00
-12.40	443.00
-11.60	446.00
-10.80	422.00
-10.40	418.00
-10.80	407.00
-10.00	398.00
-9.60	385.00
-9.20	379.00
-9.20	372.00
-8.40	418.00
-6.80	468.00
-5.20	461.00
-4.40	454.00
-3.60	447.00
-1.60	436.00
-1.60	447.00
-2.40	446.00
-2.80	444.00
-2.80	445.00
-3.20	449.00
-3.20	459.00
-3.60	457.00
-3.20	457.00
-3.60	448.00
-4.80	443.00
-4.50	441.00
-4.30	441.00
-4.20	441.00
-4.00	438.00
-3.90	424.00
-3.80	418.00
-3.40	423.00
-3.00	428.00
-3.40	424.00
