5	25.6	24.9	41	40	1.5	8.3	12.7	2.1	1	6	2.2	16	9	34	3	1
5	25.6	24.9	42	41	1.5	7.1	10.8	2.2	1	3.6	1.7	16	8	34	3	1
5	25.1	24.4	43	42	3	8.2	12.44	2.4	1.1	7.9	3.7	13	10	23	3	1
5	24.8	24.1	43	42	3	12.7	19.4	3.6	1.7	7.7	3.6	14	8	23	3	1
5.5	26.2	26.1	41	43	2.5	9.6	14.6	3.2	1.5	4.1	1.9	15	8	25	2	0.5
6	26.2	26.1	41	42	2.5	12	18.3	2.4	1.1	6.1	2	17	7	25	2	0.75
5.75	25.3	24.6	40	38	1	7.6	10.3	2.3	1	4.5	3.7	14	10	36	3	1
5.5	25.5	24.6	41	39	1	11.6	15.8	1.1	0.5	2.1	1.7	16	10	36	3	1
5.5	25.6	25.7	40	45	2.5	10.6	16.1	5.4	2.5	2	0.9	16	10	26	2	0.75
5.5	25.2	24.4	39	48	2.5	8.6	13.1	7.4	3.5	2.1	1	17	10	26	2	0.5
5	25	24	40	38	0	10.8	16.4	2.6	1.2	4	1.9	17	10	26	2	1
5	25	24	40	38	0	8.2	12.5	1.7	0.8	3.7	1.7	15	12	26	2	0.5
4.5	25	24	41	39	2	8.8	13	3.1	1.5	10	5	14	11	44	2	1
5.5	26.6	25	40	39	2	9	12	3.5	2	9	5	15	11	44	2	0.5
3.5	24.8	24.6	42	41	1.5	11	17	2.4	1.1	6	3	15	11	39	2	0.75
3.5	24.8	24.6	43	41	1.5	8.8	13.4	2.7	1.3	5.5	2.6	15	11	39	2	0.75
5.5	24.5	23	41	42	2.5	3.4	5.2	2.1	1	5.1	2	14	12	30	2	0.5
4	24.6	24.2	40	38	1	7	11	2	1	6	3	15	10	29	2	1
5	25.1	24.6	40	38	1	8	12	2	1	6	3	16	10	29	2	1
5.5	25.7	24.9	46	44	1	10	15.3	2	0.9	3.2	4.9	14	10	31	2	0.5
5.5	25.7	24.5	44	42	1	10	15.3	2.5	1	3.2	4.9	13	9	31	2	0
5.5	25.5	24.2	43	41	4	5.4	9.5	2.3	1.1	6.3	3.1	11	9	30	2	1
5.5	25.5	24.2	43	42	4	9.5	16.2	2.1	1	2.3	1.1	11	9	30	2	1
5.5	24.9	24	42	40	0	8.8	9.4	3.6	1.5	8.1	3.8	13	11	30	3	0.5
5	25.8	25.8	41	45	4.5	5.2	8	2.7	1.3	3.5	1.9	12	13	28	3	2
5	26.1	26.1	42	43	4.5	5.9	9.1	2.1	1	2.6	1.5	13	11	28	3	1
5	23	24.6	46	44	2	10	15.3	1.9	0.9	6	2.9	16	11	30	2	1
5.5	23	24.9	45	43	2	15.4	23	2.7	1.3	6.8	3	15	11	30	2	1
4.5	24.9	24	43	42	4.5	9.74	13	8.1	2.7	2	0.6	21	9	29	2	0
5	24.9	24	43	41	4.5	8.3	10.2	7.4	2.5	1.3	0.5	21	5	29	2	0.5
