101.92	102.73	120.60	130.67	134.83	146.08	150.20	159.71
99.69	106.40	118.82	128.10	133.00	139.40	146.80	153.29
87.19	89.00	102.87	114.93	118.23	127.54	144.00	151.75
74.58	99.25	104.18	115.10	124.10	133.11	142.25	151.60
54.00	62.44	84.58	100.50	109.20	120.20	129.80	144.67
61.82	70.20	86.25	98.89	109.89	118.45	128.20	142.00
86.92	92.00	99.33	107.00	112.10	121.60	132.80	144.17
115.71	101.71	106.83	111.75	114.60	124.00	133.67	144.83
108.25	96.57	106.57	112.67	115.75	124.09	131.33	143.17
99.20	80.45	97.45	111.55	114.20	122.50	132.40	142.60
75.50	75.00	90.90	106.00	113.80	121.88	131.60	140.60
55.71	69.20	88.20	101.56	110.90	118.60	128.83	135.20
69.50	74.86	78.36	91.18	101.30	114.89	128.17	135.50
107.23	87.00	99.17	109.09	113.78	121.13	127.83	134.83
149.86	83.80	88.00	106.00	108.86	120.14	128.40	133.60
75.64	86.00	88.33	102.18	110.50	121.82	126.80	136.33
55.54	80.00	78.18	95.30	109.38	120.71	123.00	132.40
50.07	65.00	76.08	89.50	100.22	114.57	122.60	131.60
53.86	57.40	69.80	81.40	94.56	111.25	121.40	127.57
81.42	79.50	89.25	95.64	106.60	116.38	123.40	125.00
121.15	90.25	93.23	94.44	104.22	117.00	119.75	128.60
110.83	70.50	84.64	93.36	99.44	113.29	118.00	126.80
118.00	94.11	94.73	103.50	108.13	118.43	124.17	131.67
111.08	102.43	96.30	102.56	110.38	116.86	123.25	130.50
81.93	91.20	91.57	96.00	105.50	112.63	123.00	127.50
53.79	75.50	74.77	86.00	97.60	109.13	119.25	125.00
75.70	75.45	78.33	87.18	98.90	107.00	120.00	126.25
68.69	73.80	79.85	88.17	96.40	106.40	117.50	125.00
69.43	76.40	77.77	85.18	97.22	106.56	117.25	126.60
52.31	68.60	72.83	82.64	93.40	103.70	112.67	121.33
47.57	61.33	68.38	78.36	87.36	100.11	105.25	118.00
40.00	39.11	59.82	71.91	81.80	98.00	101.00	117.40
36.50	37.50	55.58	66.82	75.50	87.56	92.75	114.40
30.50	35.80	51.57	61.67	70.30	79.78	89.60	118.43
26.93	34.00	47.50	54.75	64.11	76.11	84.50	103.50
26.64	34.00	44.25	53.00	61.71	69.57	83.00	96.25
